#{"t_start": 1624761614.6802588, "env_id": null}
r,l,t
0.823204,999,2236.029083
0.656714,999,2239.765061
0.732851,999,2243.504076
0.662403,999,2247.238594
0.808783,999,2250.990387
0.790511,999,2254.7483
0.707548,999,2258.502512
0.897675,999,2262.259516
0.811689,999,2266.014652
0.506664,999,2269.7748
0.660836,999,2273.53635
0.758803,999,2277.317822
0.839238,999,2281.105407
0.886569,999,2284.893411
0.764974,999,2288.687323
0.706594,999,2292.479861
0.70512,999,2296.277703
0.761621,999,2300.081314
0.653965,999,2303.875027
0.813549,999,2307.668127
0.762728,999,2311.465435
0.788158,999,2315.267344
0.795229,999,2319.078084
0.781432,999,2322.877582
0.691451,999,2326.67138
0.631533,999,2330.474082
0.227537,999,2334.273957
0.833585,999,2338.067679
0.884295,999,2341.755707
0.903537,999,2345.4441
0.695518,999,2349.13167
0.735035,999,2352.820398
0.67018,999,2356.52391
0.755943,999,2360.220194
0.886707,999,2363.907795
0.02745,999,2367.619314
0.839676,999,2371.32232
0.862655,999,2375.011277
0.689558,999,2378.715646
0.800042,999,2382.429308
0.857158,999,2386.134912
0.846775,999,2389.860151
0.81406,999,2393.568977
0.873426,999,2397.282884
0.932048,999,2400.979513
0.864806,999,2404.687614
0.56718,999,2408.406191
0.703446,999,2412.106938
0.68544,999,2434.851488
0.641997,999,2438.635751
0.791147,999,2442.416447
0.836139,999,2446.210877
0.805064,999,2449.977902
0.877057,999,2453.732155
0.751483,999,2457.489582
0.389938,999,2461.240971
0.795626,999,2464.999753
0.762337,999,2468.76976
0.814731,999,2472.544165
0.845497,999,2476.316371
0.411542,999,2480.082718
0.309216,999,2483.826012
0.778489,999,2487.538653
0.731889,999,2491.254412
0.827594,999,2494.961096
0.78826,999,2498.674332
0.730058,999,2502.372005
0.802079,999,2506.07245
0.791677,999,2509.770387
0.688932,999,2513.458039
0.729665,999,2517.165776
0.696553,999,2520.857387
0.807413,999,2524.559136
0.903063,999,2528.250186
0.739963,999,2531.954306
0.847738,999,2535.645394
0.74577,999,2539.339088
0.610176,999,2543.048568
0.053554,999,2546.749234
0.727391,999,2550.443179
0.780305,999,2554.134431
0.867423,999,2557.867474
0.525415,999,2561.631477
0.84141,999,2565.401185
0.813309,999,2569.172034
0.732386,999,2572.950895
0.740216,999,2576.733434
0.826583,999,2580.500734
0.820485,999,2584.268927
0.76161,999,2588.04612
0.814701,999,2591.808059
0.70929,999,2595.580794
0.674833,999,2599.35354
0.843427,999,2603.121679
0.735019,999,2606.877433
0.861318,999,2610.638386
