#{"t_start": 1624603073.4077435, "env_id": null}
r,l,t
0.838884,999,1821.28024
0.762133,999,1825.067851
0.822674,999,1828.905693
0.815665,999,1832.694241
0.812669,999,1836.472623
0.779052,999,1840.255605
0.806852,999,1844.032062
0.798524,999,1847.810486
0.740708,999,1851.582094
0.817908,999,1855.350402
0.806333,999,1859.132816
0.817305,999,1862.899919
0.849404,999,1866.672335
0.773196,999,1870.448786
0.781113,999,1874.230191
0.81638,999,1878.001276
0.772243,999,1881.764879
0.789625,999,1885.531042
0.855927,999,1889.344929
0.809021,999,1893.110765
0.836359,999,1896.884906
0.869041,999,1919.826823
0.747579,999,1923.655565
0.81918,999,1927.444059
0.835784,999,1931.222568
0.873266,999,1935.007047
0.784302,999,1938.774719
0.84581,999,1942.556215
0.811065,999,1946.32839
0.814762,999,1950.096718
0.752651,999,1953.88056
0.80645,999,1957.67492
0.69837,999,1961.458922
0.687739,999,1965.236228
0.743785,999,1969.017633
0.7218,999,1972.793272
0.813044,999,1976.561723
0.840504,999,1980.372648
0.747554,999,1984.16351
0.795849,999,1987.963548
0.808621,999,1991.763832
0.842874,999,1995.564498
0.795955,999,1999.366609
0.785004,999,2003.170103
0.827124,999,2006.967968
0.831658,999,2010.764329
0.711964,999,2014.569362
0.771355,999,2018.373251
0.872386,999,2022.173951
0.735809,999,2025.976358
0.83044,999,2029.782862
0.793243,999,2033.590701
0.815944,999,2037.390753
0.664625,999,2041.182439
0.868394,999,2044.984617
0.841241,999,2048.787788
0.753331,999,2052.590254
0.770574,999,2056.383558
0.802253,999,2060.182736
0.702694,999,2063.990614
0.750413,999,2067.795128
0.811569,999,2071.597405
0.787514,999,2075.402195
0.784388,999,2079.210093
0.802624,999,2083.011385
0.792973,999,2086.808246
0.765225,999,2090.61166
0.745307,999,2094.423784
0.78323,999,2098.228381
0.796371,999,2102.022787
0.864432,999,2105.814577
0.832138,999,2128.770166
0.809047,999,2132.63637
0.796302,999,2136.459362
0.794292,999,2140.264215
0.857312,999,2144.062838
0.781517,999,2147.868739
0.735911,999,2151.673477
0.817199,999,2155.476695
0.782527,999,2159.277551
0.819943,999,2163.058657
0.832686,999,2166.865514
0.827972,999,2170.671913
0.790848,999,2174.474462
0.747906,999,2178.262554
0.841326,999,2182.066135
0.808862,999,2185.870748
0.537869,999,2189.676555
0.86132,999,2193.480989
0.756113,999,2197.284913
0.837301,999,2201.087557
0.799648,999,2204.893054
0.739808,999,2208.698207
0.692429,999,2212.496085
0.81972,999,2216.296581
0.735728,999,2220.103342
0.804611,999,2223.907629
0.762182,999,2227.68455
0.824584,999,2231.489031
0.817105,999,2235.288891
0.736084,999,2239.135529
0.857002,999,2242.950578
0.786501,999,2246.775633
0.828566,999,2250.58891
0.769553,999,2254.402659
0.742792,999,2258.211151
0.78651,999,2262.006176
0.814311,999,2265.788518
0.839987,999,2269.582653
0.733838,999,2273.377395
0.777864,999,2277.163505
0.717074,999,2280.963215
0.821231,999,2284.769091
0.725542,999,2288.572435
0.857008,999,2292.376553
0.8688,999,2296.175475
0.841367,999,2299.982521
0.777423,999,2303.789781
0.825839,999,2307.588971
0.791019,999,2311.390506
0.791046,999,2315.195822
0.781155,999,2338.082675
0.806149,999,2341.882463
0.800156,999,2345.646825
0.774548,999,2349.401623
0.698791,999,2353.154494
0.776485,999,2356.929735
0.787364,999,2360.72076
0.840816,999,2364.529201
0.816988,999,2368.340756
0.75219,999,2372.171307
0.83338,999,2375.978541
0.846226,999,2379.763186
0.823404,999,2383.547197
0.832432,999,2387.332571
0.686325,999,2391.127223
0.793331,999,2394.847952
0.803369,999,2398.547066
0.731149,999,2402.25312
0.887517,999,2405.954876
0.84757,999,2409.653003
0.849784,999,2413.3598
0.854034,999,2417.074378
0.855912,999,2420.783756
0.781656,999,2424.49382
0.795555,999,2428.198857
0.818576,999,2431.887096
0.80132,999,2435.612178
0.687483,999,2439.315292
0.789154,999,2443.010731
0.789363,999,2446.73469
0.788583,999,2450.438944
0.723206,999,2454.140889
0.794323,999,2457.848917
0.796183,999,2461.547809
0.746097,999,2465.253813
0.815489,999,2468.963075
0.793185,999,2472.676801
0.850003,999,2476.396124
0.843813,999,2480.117643
0.833138,999,2483.841417
0.824487,999,2487.550652
0.897555,999,2491.255691
0.853765,999,2494.956101
0.900511,999,2498.658311
0.724366,999,2502.387141
0.883064,999,2506.105548
0.822585,999,2509.812168
0.829344,999,2513.513455
0.865674,999,2517.213506
0.779684,999,2520.921338
0.730327,999,2543.635205
0.87416,999,2547.463752
0.804464,999,2551.210472
0.722477,999,2554.93769
0.814925,999,2558.651554
0.839114,999,2562.369885
0.840877,999,2566.087396
0.838843,999,2569.799651
0.906022,999,2573.502433
0.800974,999,2577.19972
0.851697,999,2580.913284
0.898817,999,2584.625021
0.788367,999,2588.338125
0.780858,999,2592.040067
0.819745,999,2595.734583
0.786763,999,2599.43408
0.832149,999,2603.132509
0.806208,999,2606.846133
0.912859,999,2610.553529
0.837897,999,2614.247267
0.84856,999,2618.012532
0.862034,999,2621.780514
0.816069,999,2625.526534
0.872091,999,2629.246866
0.815752,999,2632.980112
0.811908,999,2636.729602
0.748324,999,2640.480606
0.858631,999,2644.227776
0.841972,999,2647.945803
0.834134,999,2651.634356
0.820308,999,2655.331547
0.861324,999,2659.03297
0.841597,999,2662.712856
0.829781,999,2666.412608
0.797344,999,2670.118309
0.818064,999,2673.813571
0.7559,999,2677.510656
0.817831,999,2681.204742
0.714959,999,2684.902123
0.813513,999,2688.592261
0.790685,999,2692.301486
0.858865,999,2696.013505
0.807437,999,2699.71034
0.750596,999,2703.406861
0.718267,999,2707.107653
0.862528,999,2710.804703
0.780078,999,2714.501866
0.89639,999,2718.198227
0.817804,999,2721.918284
0.885919,999,2725.644664
0.859316,999,2748.276583
0.817068,999,2752.039767
0.807251,999,2755.794285
0.884701,999,2759.518594
0.800488,999,2763.238047
0.85014,999,2766.962693
0.882466,999,2770.684356
0.786382,999,2774.406267
0.802937,999,2778.140148
0.80232,999,2781.849651
0.770354,999,2785.569951
0.847821,999,2789.289561
0.840242,999,2793.017597
0.842487,999,2796.753661
0.745385,999,2800.472587
0.880255,999,2804.197012
0.908942,999,2807.926164
0.819481,999,2811.665512
0.82835,999,2815.381766
0.731617,999,2819.10421
0.738025,999,2822.829903
0.914409,999,2826.551694
0.826218,999,2830.286317
0.83293,999,2834.013197
0.87865,999,2837.73804
0.819591,999,2841.472878
0.779994,999,2845.211337
0.79517,999,2849.049245
0.750076,999,2852.815864
0.814639,999,2856.582446
0.718095,999,2860.348715
0.837687,999,2864.12852
0.783181,999,2867.907402
0.866674,999,2871.688188
0.839694,999,2875.465564
0.90744,999,2879.242645
0.901036,999,2883.017713
0.845883,999,2886.794875
0.690852,999,2890.563901
0.900485,999,2894.338474
0.823988,999,2898.118102
0.789155,999,2901.899131
0.825681,999,2905.678069
0.857985,999,2909.456679
0.812695,999,2913.21464
0.82237,999,2916.982483
0.853922,999,2920.786979
0.727983,999,2924.59004
0.835947,999,2928.384852
0.780859,999,2932.201256
0.793833,999,2955.197058
0.807986,999,2959.08
0.87859,999,2962.925819
0.879894,999,2966.750148
0.732835,999,2970.584879
0.823647,999,2974.407894
0.861527,999,2978.217915
0.798373,999,2982.042626
0.836205,999,2985.863841
0.767714,999,2989.691089
0.807527,999,2993.51418
0.825051,999,2997.342273
0.799411,999,3001.158991
0.811765,999,3004.973699
0.868729,999,3008.839691
0.793426,999,3012.681754
0.886554,999,3016.505307
0.850733,999,3020.319857
0.846762,999,3024.144039
0.747856,999,3027.962076
0.750948,999,3031.771866
0.813896,999,3035.590697
0.831257,999,3039.411627
0.840256,999,3043.23368
0.849305,999,3047.058124
0.871219,999,3050.877508
0.898579,999,3054.701162
0.780302,999,3058.516631
0.871467,999,3062.343107
0.890946,999,3066.168377
0.82481,999,3069.969613
0.787881,999,3073.687845
0.902226,999,3077.412595
0.893074,999,3081.134061
0.799385,999,3084.849753
0.8489,999,3088.57186
0.808381,999,3092.285448
0.806588,999,3096.02127
0.738774,999,3099.742901
0.88847,999,3103.456974
0.843122,999,3107.174527
0.869467,999,3110.892495
0.847791,999,3114.615576
0.848981,999,3118.338446
0.779555,999,3122.075189
0.793869,999,3125.808566
0.818168,999,3129.539121
0.82813,999,3133.274556
0.914291,999,3136.997162
0.892044,999,3140.716992
0.733619,999,3163.393996
0.762501,999,3167.175227
0.76029,999,3170.927661
0.841405,999,3174.664127
0.888097,999,3178.431408
0.85338,999,3182.199443
0.775673,999,3185.956148
0.720112,999,3189.721287
0.864279,999,3193.501678
0.771784,999,3197.271167
0.783002,999,3201.038382
0.828116,999,3204.803062
0.917684,999,3208.57216
0.840398,999,3212.33385
0.75216,999,3216.108588
0.867955,999,3219.898879
0.851712,999,3223.664292
0.808453,999,3227.426409
0.772774,999,3231.185683
0.785564,999,3234.945738
0.821672,999,3238.719982
0.878767,999,3242.473493
0.828617,999,3246.232686
0.741399,999,3249.998694
0.778424,999,3253.771972
0.69496,999,3257.545553
0.630538,999,3261.308028
0.842332,999,3265.068113
0.815515,999,3268.811517
0.783832,999,3272.55253
0.691945,999,3276.275148
0.786695,999,3279.996032
0.859713,999,3283.714984
0.788857,999,3287.431373
0.701988,999,3291.1466
0.763415,999,3294.856908
0.822319,999,3298.577282
0.760786,999,3302.295484
0.782872,999,3306.025228
0.735725,999,3309.747377
0.620423,999,3313.469897
0.837431,999,3317.194257
0.789185,999,3320.939407
0.732093,999,3324.68596
0.709855,999,3328.412031
0.821156,999,3332.138413
0.83199,999,3335.881714
0.793204,999,3339.617676
0.819295,999,3343.365002
0.734862,999,3347.096169
0.826607,999,3369.882286
0.650805,999,3373.739541
0.706694,999,3377.621964
0.887142,999,3381.42736
0.645182,999,3385.224145
0.56044,999,3389.017629
0.8199,999,3392.825011
0.79048,999,3396.616181
0.825364,999,3400.411485
0.618904,999,3404.219363
0.730377,999,3408.029573
0.659513,999,3411.830989
0.801509,999,3415.637046
0.689045,999,3419.443236
0.624605,999,3423.254217
0.755523,999,3427.065003
0.639156,999,3430.8814
0.791877,999,3434.677688
0.603417,999,3438.476659
0.597892,999,3442.263648
0.665194,999,3446.074058
0.691901,999,3449.868688
0.589117,999,3453.656068
0.703213,999,3457.449437
0.651231,999,3461.237961
0.648292,999,3465.020734
0.68784,999,3468.765231
0.684328,999,3472.498507
0.703373,999,3476.238908
0.55184,999,3479.974935
0.56696,999,3483.712655
0.73542,999,3487.48361
0.665603,999,3491.268992
0.588498,999,3495.041699
0.70569,999,3498.822545
0.636917,999,3502.591677
0.830507,999,3506.368092
0.680248,999,3510.141838
0.315843,999,3513.907075
0.660812,999,3517.672023
0.517639,999,3521.458232
0.68189,999,3525.23303
0.718591,999,3529.018969
0.707831,999,3532.78125
0.781263,999,3536.557848
0.656609,999,3540.324187
0.768765,999,3544.104566
0.650571,999,3547.891721
0.681059,999,3551.677392
0.635124,999,3555.452619
0.693465,999,3578.280582
0.759469,999,3582.077174
0.554335,999,3585.883493
0.636822,999,3589.650954
0.695035,999,3593.421577
0.503395,999,3597.187192
0.770245,999,3600.985001
0.60222,999,3604.756547
0.856776,999,3608.539344
0.75282,999,3612.30638
0.639385,999,3616.070725
0.833971,999,3619.828729
0.892499,999,3623.603571
0.787776,999,3627.370932
0.726545,999,3631.134006
0.793264,999,3634.901115
0.646215,999,3638.667428
0.763406,999,3642.448486
0.663364,999,3646.210886
0.574775,999,3649.986874
0.690427,999,3653.768338
0.805111,999,3657.542025
0.698501,999,3661.302754
0.453232,999,3665.078092
0.68128,999,3668.844789
0.460022,999,3672.620459
0.801018,999,3676.399544
0.806797,999,3680.164327
0.78365,999,3683.898581
0.767654,999,3687.639082
0.36229,999,3691.36526
0.70987,999,3695.095448
0.880304,999,3698.818959
0.746118,999,3702.545991
0.689745,999,3706.274021
0.718659,999,3710.011135
0.628332,999,3713.759778
